sample,gene,expr,cell_line,time,series
SH_48h_batch1,ANKRD1,9.060696541228705,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,ANKRD1,8.172224680681195,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,ANKRD1,7.90804876808573,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,NOTCH1,10.168791092122047,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,NOTCH1,10.089120084068314,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,NOTCH1,10.484297602199398,CLBMa,DMSO,CM_rep3
CM_control_batch1,NOTCH1,9.800607472603087,CLBMa,DMSO,CM_batch1
CM_24h_batch1,NOTCH1,9.686500688410039,CLBMa,24h,CM_batch1
CM_24h_rep1_1,NOTCH1,9.994054260473083,CLBMa,24h,CM_rep1
CM_24h_rep2_1,NOTCH1,10.060047907093931,CLBMa,24h,CM_rep2
CM_24h_rep3,NOTCH1,10.292913608939093,CLBMa,24h,CM_rep3
CM_48h_batch1,NOTCH1,9.837840378156216,CLBMa,48h,CM_batch1
CM_48h_rep1_1,NOTCH1,10.063630075744395,CLBMa,48h,CM_rep1
CM_48h_rep3,NOTCH1,10.137318133494274,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,NOTCH1,10.930466030773852,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,NOTCH1,10.719811265798496,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,NOTCH1,10.979100042071098,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,NOTCH1,10.96450691124735,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,NOTCH1,10.441342642911232,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,NOTCH1,10.494360964710921,SK_N_SH,24h,SH_rep2
SH_48h_batch1,NOTCH1,10.72650885969134,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,NOTCH1,10.396780250154517,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,NOTCH1,10.382216236601076,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,NOTCH2,12.143235304786902,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,NOTCH2,11.97851303513718,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,NOTCH2,12.34699536983006,CLBMa,DMSO,CM_rep3
CM_control_batch1,NOTCH2,12.505297684412582,CLBMa,DMSO,CM_batch1
CM_24h_batch1,NOTCH2,12.298295085303238,CLBMa,24h,CM_batch1
CM_24h_rep1_1,NOTCH2,11.902990845431352,CLBMa,24h,CM_rep1
CM_24h_rep2_1,NOTCH2,11.747085665826825,CLBMa,24h,CM_rep2
CM_24h_rep3,NOTCH2,12.33354110513007,CLBMa,24h,CM_rep3
CM_48h_batch1,NOTCH2,12.202356817031824,CLBMa,48h,CM_batch1
CM_48h_rep1_1,NOTCH2,11.643575175240613,CLBMa,48h,CM_rep1
CM_48h_rep3,NOTCH2,11.751719544675838,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,NOTCH2,12.981492003601678,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,NOTCH2,12.962332333810258,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,NOTCH2,12.523839122861228,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,NOTCH2,12.213754365775557,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,NOTCH2,12.749872259272491,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,NOTCH2,12.68611950012345,SK_N_SH,24h,SH_rep2
SH_48h_batch1,NOTCH2,12.117279793364442,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,NOTCH2,12.439657280415828,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,NOTCH2,12.674790603798147,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,MAML2,11.469574053406454,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,MAML2,11.241185256412425,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,MAML2,11.551181145684676,CLBMa,DMSO,CM_rep3
CM_control_batch1,MAML2,11.342235331366531,CLBMa,DMSO,CM_batch1
CM_24h_batch1,MAML2,11.102473984504488,CLBMa,24h,CM_batch1
CM_24h_rep1_1,MAML2,11.338295575193944,CLBMa,24h,CM_rep1
CM_24h_rep2_1,MAML2,10.941248508059381,CLBMa,24h,CM_rep2
CM_24h_rep3,MAML2,11.416135994462547,CLBMa,24h,CM_rep3
CM_48h_batch1,MAML2,10.99791103796464,CLBMa,48h,CM_batch1
CM_48h_rep1_1,MAML2,11.137171129848618,CLBMa,48h,CM_rep1
CM_48h_rep3,MAML2,11.153018432841808,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,MAML2,11.41241742354316,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,MAML2,11.236310724826833,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,MAML2,11.272315649534477,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,MAML2,11.197030545332284,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,MAML2,11.120357503353283,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,MAML2,11.070735675428656,SK_N_SH,24h,SH_rep2
SH_48h_batch1,MAML2,11.061331678367376,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,MAML2,10.495482541724336,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,MAML2,10.687915231710058,SK_N_SH,48h,SH_rep2
