gs_id	gene_id
MES	60673
ADRN	1621
MES	5354
MES	9367
MES	9111
MES	3759
MES	5208
MES	23682
ADRN	1164
MES	164781
MES	79586
MES	23549
MES	6560
MES	3787
MES	6385
MES	8202
MES	51604
ADRN	78997
MES	57169
MES	57403
ADRN	6615
MES	55653
MES	60598
MES	4109
ADRN	64377
MES	23096
MES	6845
MES	7499
MES	55577
ADRN	400961
ADRN	10396
MES	27076
MES	5269
MES	4835
MES	1026
ADRN	6659
MES	6239
MES	6745
MES	10799
MES	6310
MES	860
MES	9208
MES	745
MES	79026
MES	4502
ADRN	55715
ADRN	84899
MES	3659
ADRN	23157
MES	5732
MES	6662
MES	9953
ADRN	10485
MES	79143
MES	56731
MES	3553
MES	2892
MES	9322
MES	2354
ADRN	6253
ADRN	24139
MES	7408
ADRN	63908
MES	55317
MES	6238
MES	631
MES	11034
ADRN	24141
ADRN	6939
ADRN	84515
ADRN	55321
ADRN	83541
ADRN	4435
MES	3397
MES	101410538
MES	2925
MES	826
ADRN	84063
MES	83786
MES	83596
MES	6237
ADRN	23769
MES	51119
MES	65266
MES	8678
ADRN	5582
MES	2537
MES	6495
MES	57381
ADRN	9787
MES	112849
MES	3306
ADRN	26030
MES	2123
MES	8273
MES	79717
ADRN	64919
ADRN	92797
MES	5908
MES	7103
MES	117177
MES	5787
ADRN	65999
MES	3425
MES	53834
MES	10365
ADRN	9088
ADRN	63922
ADRN	6597
MES	55504
MES	6049
ADRN	90485
MES	2791
MES	8910
ADRN	64921
ADRN	163131
ADRN	57622
MES	7538
ADRN	65997
ADRN	5471
MES	79924
ADRN	57168
ADRN	25775
ADRN	2781
ADRN	4248
MES	53947
MES	11135
MES	80833
MES	2847
MES	8459
MES	7263
MES	23780
MES	5880
MES	3976
ADRN	7732
MES	92521
MES	51200
ADRN	9732
MES	5420
MES	2318
ADRN	64101
MES	813
ADRN	64753
MES	10234
ADRN	3231
ADRN	3232
MES	50940
ADRN	1123
MES	2571
ADRN	3235
ADRN	3236
ADRN	3237
ADRN	3239
MES	57045
ADRN	90417
ADRN	1854
