"gene","PeakId","Annotation","Distance.to.TSS","log2FoldChange","padj","contrast"
"NOTCH2","Interval_22374","intron (ENSG00000134250, intron 1 of 11)",-85614,-0.00170906899115491,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22378","intron (ENSG00000134250, intron 1 of 13)",54407,0.00781552593485324,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22379","promoter-TSS (ENSG00000134250)",322,-0.00486047483693872,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22380","intron (ENSG00000134250, intron 3 of 3)",11587,-0.00434380617306918,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88692","intron (ENSG00000184384, intron 1 of 3)",49286,0.00149550634346814,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88694","intron (ENSG00000184384, intron 1 of 3)",50995,-0.00849292641934784,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88695","intron (ENSG00000184384, intron 1 of 3)",53163,0.000281359073420364,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88696","intron (ENSG00000184384, intron 1 of 3)",54764,-0.0114929269620161,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88704","intron (ENSG00000184384, intron 1 of 3)",-45924,-0.013819669520714,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88705","intron (ENSG00000184384, intron 1 of 3)",-41735,-0.00560172911865085,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88706","intron (ENSG00000184384, intron 1 of 3)",-39100,-0.00436477678499756,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88707","intron (ENSG00000184384, intron 1 of 3)",-36816,-0.00275587153964911,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88708","intron (ENSG00000184384, intron 1 of 3)",-29789,-0.00260859418234898,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88709","intron (ENSG00000184384, intron 1 of 3)",-26620,-0.00733290172484084,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88711","intron (ENSG00000184384, intron 1 of 3)",-16725,-0.00263721036247888,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88713","intron (ENSG00000184384, intron 1 of 3)",-9880,0.00925824972390379,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88715","intron (ENSG00000184384, intron 1 of 3)",-3129,0.00485531951222679,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88716","intron (ENSG00000184384, intron 1 of 3)",-1164,-0.00879611344617877,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88719","intron (ENSG00000184384, intron 1 of 4)",-2823,0.00104887555704603,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88722","intron (ENSG00000184384, intron 1 of 4)",-9467,-0.0138293029123583,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88724","intron (ENSG00000184384, intron 1 of 4)",-11994,0.0019060599171446,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88726","intron (ENSG00000184384, intron 1 of 4)",-19560,0.00821386519855407,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88728","intron (ENSG00000184384, intron 1 of 4)",-29195,-0.00486201401222375,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88734","intron (ENSG00000184384, intron 1 of 4)",-41170,-0.00307778055642345,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88737","intron (ENSG00000184384, intron 1 of 4)",-51354,-0.0124070189098202,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88739","intron (ENSG00000184384, intron 1 of 4)",-56794,-0.0183320379281734,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88743","intron (ENSG00000184384, intron 1 of 4)",-68222,-0.0107844580063804,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88744","intron (ENSG00000184384, intron 1 of 4)",-69623,-0.0123909344380988,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88746","intron (ENSG00000184384, intron 1 of 4)",-75745,-0.00516394002104228,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88754","intron (ENSG00000184384, intron 1 of 4)",-114266,0.0126227014050679,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88756","intron (ENSG00000184384, intron 1 of 4)",-120017,-0.00169853463846776,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88757","intron (ENSG00000184384, intron 1 of 4)",-121997,-0.00184522935069658,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88758","intron (ENSG00000184384, intron 1 of 4)",-122143,0.000622145764948445,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88759","intron (ENSG00000184384, intron 1 of 4)",-121011,0.00316126039803468,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88760","intron (ENSG00000184384, intron 1 of 4)",-119611,-0.00594909625947553,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88762","intron (ENSG00000184384, intron 1 of 4)",-105632,0.00809917931440536,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88765","intron (ENSG00000184384, intron 1 of 4)",-98102,-0.00712349541805494,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88768","intron (ENSG00000184384, intron 1 of 4)",-82005,-0.00183580587554927,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88770","intron (ENSG00000184384, intron 1 of 4)",-73677,0.0103602060745861,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88771","intron (ENSG00000184384, intron 1 of 4)",-68433,0.00701991817361407,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88772","intron (ENSG00000184384, intron 1 of 4)",-65333,0.00122827235157533,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88773","intron (ENSG00000184384, intron 1 of 4)",-62484,0.0229497200798908,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88776","intron (ENSG00000184384, intron 1 of 4)",-48022,-0.00382773899996864,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88779","intron (ENSG00000184384, intron 1 of 4)",-38104,-0.00125976958885077,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88780","intron (ENSG00000184384, intron 1 of 4)",-34035,-0.00628889346080883,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88784","intron (ENSG00000184384, intron 1 of 4)",-23411,0.00663677297241484,0.999984913578322,"24h_vs_control"
